,0.2
2017-04-24,1.3940214048170376
2017-04-25,1.398420683412121
2017-04-26,1.4006626404195954
2017-04-27,1.4006626404195954
2017-04-28,1.402926337616233
2017-05-01,1.4132125592362301
2017-05-02,1.4132125592362301
2017-05-03,1.4072370304445336
2017-05-04,1.4153949262731977
2017-05-05,1.4141877664213656
2017-05-08,1.42259482745317
2017-05-09,1.42259482745317
2017-05-10,1.4201045082803854
2017-05-11,1.4225688978826072
2017-05-12,1.42754944544631
2017-05-15,1.4377235172178648
2017-05-16,1.4310827619420319
2017-05-17,1.3818509305831232
2017-05-18,1.3808795063788468
2017-05-19,1.4108670823492455
2017-05-22,1.4219544464541511
2017-05-23,1.4196281406112814
2017-05-24,1.42769093735309
2017-05-25,1.4264987111006031
2017-05-26,1.4288712661294607
2017-05-30,1.4312676959259043
2017-05-31,1.4312676959259043
2017-06-01,1.4361091934174084
2017-06-02,1.4361091934174084
2017-06-05,1.4324031051763313
2017-06-06,1.427537192292505
2017-06-07,1.4299213880207597
2017-06-08,1.4359421096545313
2017-06-09,1.433471671616416
2017-06-12,1.4298039402604676
2017-06-13,1.4406403490708628
2017-06-14,1.4393793947171902
2017-06-15,1.4381250335888964
2017-06-16,1.443116356915886
2017-06-19,1.4545848312754825
2017-06-20,1.4478970849247907
2017-06-21,1.458699373288724
2017-06-22,1.463491814761541
2017-06-23,1.465936059963648
2017-06-26,1.4721084223213896
2017-06-27,1.4619777837161672
2017-06-28,1.4704882573012095
2017-06-29,1.4616716253516517
2017-06-30,1.454378461316633
2017-07-03,1.4484783458549022
2017-07-05,1.454237703094882
2017-07-06,1.4377189786783884
2017-07-07,1.4476533132719436
2017-07-10,1.4557118207812108
2017-07-11,1.4580933534123455
